annotation_id,label,cell_id,image
1,,46,Data/images/Crenated_15.png
2,,1,Data/images/Crenated_13.png
3,,17,Data/images/Crenated_5.png
4,,72,Data/images/Crenated_15.png
5,,17,Data/images/Dead_cells_20.png
6,,9,Data/images/Crenated_13.png
7,,56,Data/images/Crenated_14.png
8,,25,Data/images/Crenated_10.png
9,,42,Data/images/Crenated_13.png
10,,56,Data/images/Crenated_6.png
11,,9,Data/images/Dead_cells_9.png
12,,20,Data/images/Crenated_5.png
13,,19,Data/images/Crenated_6.png
14,,21,Data/images/Crenated_9.png
15,,16,Data/images/Crenated_10.png
16,,80,Data/images/Crenated_15.png
17,,18,Data/images/Crenated_4.png
18,,45,Data/images/Crenated_11.png
19,,15,Data/images/Crenated_5.png
20,,40,Data/images/Crenated_9.png
21,,8,Data/images/Dead_cells_16.png
22,,14,Data/images/Crenated_3.png
23,,11,Data/images/Crenated_11.png
24,,27,Data/images/Crenated_7.png
25,,63,Data/images/Crenated_10.png
26,,21,Data/images/Dead_cells_15.png
27,,35,Data/images/Crenated_3.png
28,,9,Data/images/Dead_cells_15.png
29,,58,Data/images/Crenated_14.png
30,,35,Data/images/Crenated_4.png
31,,30,Data/images/Crenated_4.png
32,,33,Data/images/Crenated_14.png
33,,51,Data/images/Crenated_8.png
34,,38,Data/images/Crenated_12.png
35,,11,Data/images/Dead_cells_15.png
36,,20,Data/images/Dead_cells_18.png
37,,20,Data/images/Dead_cells_17.png
38,,59,Data/images/Crenated_8.png
39,,29,Data/images/Crenated_6.png
40,,23,Data/images/Crenated_2.png
41,,62,Data/images/Crenated_15.png
42,,10,Data/images/Dead_cells_5.png
43,,36,Data/images/Crenated_11.png
44,,23,Data/images/Crenated_9.png
45,,55,Data/images/Crenated_13.png
46,,23,Data/images/Crenated_8.png
47,,5,Data/images/Dead_cells_7.png
48,,43,Data/images/Crenated_11.png
49,,68,Data/images/Control5_3.png
50,,6,Data/images/Crenated_3.png
51,,54,Data/images/Crenated_4.png
52,,56,Data/images/Crenated_5.png
53,,34,Data/images/Crenated_1.png
54,,3,Data/images/Crenated_12.png
55,,19,Data/images/Dead_cells_7.png
56,,22,Data/images/Crenated_13.png
57,,17,Data/images/Dead_cells_19.png
58,,31,Data/images/Crenated_3.png
59,,3,Data/images/Crenated_6.png
60,,27,Data/images/Dead_cells_12.png
61,,70,Data/images/Crenated_13.png
62,,36,Data/images/Control5_3.png
63,,20,Data/images/Crenated_1.png
64,,39,Data/images/Crenated_10.png
65,,12,Data/images/Dead_cells_6.png
66,,28,Data/images/Crenated_13.png
67,,10,Data/images/Crenated_1.png
68,,35,Data/images/Crenated_9.png
69,,28,Data/images/Crenated_14.png
70,,24,Data/images/Control5_3.png
71,,14,Data/images/Dead_cells_9.png
72,,58,Data/images/Crenated_7.png
73,,38,Data/images/Crenated_9.png
74,,29,Data/images/Crenated_12.png
75,,14,Data/images/Crenated_12.png
76,,2,Data/images/Crenated_10.png
77,,12,Data/images/Crenated_4.png
78,,29,Data/images/Dead_cells_20.png
79,,20,Data/images/Dead_cells_15.png
80,,41,Data/images/Crenated_15.png
81,,63,Data/images/Crenated_7.png
82,,7,Data/images/Crenated_11.png
83,,33,Data/images/Crenated_7.png
84,,21,Data/images/Crenated_2.png
85,,46,Data/images/Crenated_9.png
86,,45,Data/images/Crenated_8.png
87,,14,Data/images/Crenated_4.png
88,,16,Data/images/Crenated_11.png
89,,47,Data/images/Crenated_9.png
90,,2,Data/images/Crenated_4.png
91,,62,Data/images/Crenated_6.png
92,,59,Data/images/Crenated_13.png
93,,15,Data/images/Crenated_4.png
94,,5,Data/images/Dead_cells_8.png
95,,23,Data/images/Crenated_5.png
96,,19,Data/images/Dead_cells_15.png
97,,4,Data/images/Crenated_1.png
98,,15,Data/images/Dead_cells_14.png
99,,31,Data/images/Dead_cells_20.png
100,,17,Data/images/Dead_cells_9.png
101,,14,Data/images/Crenated_15.png
102,,6,Data/images/Crenated_5.png
103,,41,Data/images/Crenated_1.png
104,,16,Data/images/Crenated_15.png
105,,37,Data/images/Crenated_13.png
106,,50,Data/images/Crenated_8.png
107,,42,Data/images/Crenated_9.png
108,,20,Data/images/Crenated_14.png
109,,54,Data/images/Crenated_11.png
110,,3,Data/images/Crenated_13.png
111,,1,Data/images/Dead_cells_17.png
112,,23,Data/images/Crenated_3.png
113,,45,Data/images/Control5_3.png
114,,44,Data/images/Control5_3.png
115,,36,Data/images/Crenated_9.png
116,,4,Data/images/Dead_cells_3.png
117,,32,Data/images/Crenated_4.png
118,,14,Data/images/Dead_cells_1.png
119,,12,Data/images/Crenated_1.png
120,,21,Data/images/Crenated_6.png
121,,12,Data/images/Dead_cells_9.png
122,,15,Data/images/Dead_cells_2.png
123,,3,Data/images/Dead_cells_10.png
124,,53,Data/images/Crenated_9.png
125,,41,Data/images/Crenated_5.png
126,,18,Data/images/Crenated_8.png
127,,32,Data/images/Crenated_7.png
128,,25,Data/images/Dead_cells_7.png
129,,21,Data/images/Dead_cells_20.png
130,,9,Data/images/Crenated_11.png
131,,24,Data/images/Dead_cells_2.png
132,,26,Data/images/Crenated_9.png
133,,5,Data/images/Crenated_8.png
134,,3,Data/images/Crenated_15.png
135,,6,Data/images/Dead_cells_13.png
136,,4,Data/images/Crenated_9.png
137,,13,Data/images/Crenated_4.png
138,,26,Data/images/Dead_cells_5.png
139,,13,Data/images/Dead_cells_9.png
140,,55,Data/images/Control5_3.png
141,,5,Data/images/Crenated_12.png
142,,43,Data/images/Crenated_15.png
143,,21,Data/images/Dead_cells_5.png
144,,2,Data/images/Dead_cells_3.png
145,,34,Data/images/Crenated_10.png
146,,11,Data/images/Dead_cells_10.png
147,,9,Data/images/Crenated_4.png
148,,47,Data/images/Crenated_12.png
149,,4,Data/images/Dead_cells_4.png
150,,11,Data/images/Dead_cells_16.png
151,,44,Data/images/Crenated_13.png
152,,13,Data/images/Crenated_11.png
153,,69,Data/images/Control5_3.png
154,,32,Data/images/Crenated_5.png
155,,38,Data/images/Crenated_7.png
156,,2,Data/images/Dead_cells_1.png
157,,7,Data/images/Dead_cells_6.png
158,,17,Data/images/Crenated_2.png
159,,34,Data/images/Crenated_15.png
160,,23,Data/images/Crenated_12.png
161,,7,Data/images/Crenated_7.png
162,,47,Data/images/Crenated_4.png
163,,45,Data/images/Crenated_15.png
164,,5,Data/images/Dead_cells_9.png
165,,8,Data/images/Dead_cells_12.png
166,,50,Data/images/Crenated_5.png
167,,44,Data/images/Crenated_12.png
168,,22,Data/images/Crenated_2.png
169,,3,Data/images/Dead_cells_20.png
170,,74,Data/images/Control5_3.png
171,,36,Data/images/Crenated_6.png
172,,39,Data/images/Dead_cells_6.png
173,,7,Data/images/Dead_cells_8.png
174,,35,Data/images/Crenated_5.png
175,,31,Data/images/Dead_cells_19.png
176,,15,Data/images/Dead_cells_11.png
177,,22,Data/images/Dead_cells_17.png
178,,16,Data/images/Dead_cells_2.png
179,,41,Data/images/Crenated_10.png
180,,10,Data/images/Crenated_14.png
181,,1,Data/images/Dead_cells_16.png
182,,17,Data/images/Dead_cells_2.png
183,,2,Data/images/Dead_cells_7.png
184,,40,Data/images/Crenated_4.png
185,,9,Data/images/Dead_cells_10.png
186,,34,Data/images/Crenated_5.png
187,,12,Data/images/Dead_cells_16.png
188,,25,Data/images/Crenated_9.png
189,,10,Data/images/Crenated_11.png
190,,30,Data/images/Dead_cells_7.png
191,,25,Data/images/Dead_cells_14.png
192,,24,Data/images/Crenated_1.png
193,,20,Data/images/Crenated_6.png
194,,70,Data/images/Control5_3.png
195,,60,Data/images/Crenated_3.png
196,,73,Data/images/Control5_3.png
197,,5,Data/images/Dead_cells_19.png
198,,11,Data/images/Dead_cells_18.png
199,,26,Data/images/Crenated_3.png
200,,29,Data/images/Crenated_14.png
201,,29,Data/images/Dead_cells_13.png
202,,43,Data/images/Dead_cells_6.png
203,,78,Data/images/Crenated_14.png
204,,7,Data/images/Dead_cells_1.png
205,,1,Data/images/Dead_cells_13.png
206,,10,Data/images/Dead_cells_20.png
207,,24,Data/images/Crenated_7.png
208,,6,Data/images/Control5_3.png
209,,17,Data/images/Dead_cells_5.png
210,,3,Data/images/Crenated_2.png
211,,10,Data/images/Crenated_6.png
212,,2,Data/images/Dead_cells_17.png
213,,9,Data/images/Dead_cells_12.png
214,,34,Data/images/Crenated_8.png
215,,12,Data/images/Dead_cells_7.png
216,,38,Data/images/Crenated_13.png
217,,41,Data/images/Crenated_4.png
218,,16,Data/images/Dead_cells_9.png
219,,7,Data/images/Crenated_12.png
220,,20,Data/images/Dead_cells_14.png
221,,38,Data/images/Crenated_10.png
222,,54,Data/images/Crenated_6.png
223,,29,Data/images/Crenated_7.png
224,,58,Data/images/Crenated_3.png
