feature,importance
bf_glcm_JointEntropy,1.0
bf_intensity_MeanAbsoluteDeviation,0.33523838722760857
bf_glrlm_ShortRunLowGrayLevelEmphasis,0.17890176635116234
bf_glszm_LargeAreaLowGrayLevelEmphasis,0.09577012296784665
bf_intensity_RobustMeanAbsoluteDeviation,0.08589543518573521
bf_glcm_InverseVariance,0.0497608271674657
bf_glszm_SizeZoneNonUniformity,0.046284374664072085
bf_gldm_GrayLevelVariance,0.0448918367359412
shape_extent,0.04261406658588147
bf_glcm_JointEnergy,0.03923337891041937
bf_glrlm_LongRunEmphasis,0.038742774110407725
bf_glrlm_ShortRunEmphasis,0.03471827883269389
bf_gldm_HighGrayLevelEmphasis,0.031707580964752506
shape_MinorAxisLength,0.030959334682219446
bf_glszm_SmallAreaLowGrayLevelEmphasis,0.02660259354269742
shape_MaximumDiameter,0.0238351401500996
bf_intensity_RootMeanSquared.1,0.02358316591036532
shape_eccentricity,0.02116712157666352
bf_intensity_Kurtosis,0.019681875311985512
bf_glcm_Idm,0.019369778846249384
bf_glrlm_LowGrayLevelRunEmphasis,0.01756494919672653
bf_intensity_90Percentile,0.01736055388546292
shape_MajorAxisLength,0.017298952668174872
bf_glrlm_RunLengthNonUniformity,0.016841650122944148
bf_intensity_TotalEnergy,0.01474357879027295
bf_gldm_DependenceVariance,0.011505375118951588
bf_intensity_Mean,0.010498654186482544
bf_gldm_LowGrayLevelEmphasis,0.010102723202459234
bf_glrlm_RunVariance,0.006648619380464827
bf_gldm_GrayLevelNonUniformity,0.0
bf_glszm_HighGrayLevelZoneEmphasis,0.0
bf_glcm_MCC,0.0
bf_gldm_DependenceEntropy,0.0
bf_gldm_DependenceNonUniformity,0.0
bf_glrlm_RunPercentage,0.0
bf_glrlm_RunEntropy,0.0
bf_glszm_LargeAreaHighGrayLevelEmphasis,0.0
bf_glszm_SmallAreaEmphasis,0.0
bf_glszm_LowGrayLevelZoneEmphasis,0.0
bf_glrlm_LongRunHighGrayLevelEmphasis,0.0
bf_glrlm_ShortRunHighGrayLevelEmphasis,0.0
bf_glszm_LargeAreaEmphasis,0.0
bf_glrlm_LongRunLowGrayLevelEmphasis,0.0
bf_glszm_SmallAreaHighGrayLevelEmphasis,0.0
shape_Elongation,0.0
bf_glcm_JointAverage,0.0
bf_intensity_Maximum,0.0
shape_Perimeter,0.0
shape_PerimeterSurfaceRatio,0.0
shape_PixelSurface,0.0
shape_Sphericity,0.0
shape_bbox_area,0.0
shape_convex_area,0.0
shape_diameter,0.0
shape_solidity,0.0
bf_intensity_10Percentile,0.0
bf_intensity_Energy,0.0
bf_intensity_Entropy,0.0
bf_intensity_InterquartileRange,0.0
bf_intensity_Median,0.0
bf_glcm_Imc12,0.0
bf_intensity_Minimum,0.0
bf_intensity_Range,0.0
bf_intensity_RootMeanSquared,0.0
bf_intensity_Uniformity,0.0
bf_intensity_Variance,0.0
bf_glcm_Contrast,0.0
bf_glcm_Correlation,0.0
bf_glcm_Autocorrelation,0.0
bf_glcm_DifferenceAverage,0.0
bf_glcm_DifferenceEntropy,0.0
bf_glcm_Id,0.0
bf_glcm_Imc1,0.0
bf_glcm_DifferenceVariance,0.0
