annotation_id,label,cell_id,image
1,,21,Data_MC/images/PP_RBCs_NPs_1-10_4_3hrs_4.tif
2,Healthy,32,Data_MC/images/PP_RBCs_NPs_1-200_2_3hrs_4.tif
3,Healthy,17,Data_MC/images/PS_RBCs_NPs_1-50_3_15hrs_3.tif
4,Healthy,33,Data_MC/images/PS_RBCs_NPs_1-10_5_3hrs_2.tif
5,,25,Data_MC/images/PS_RBCs_control_3_15hrs_1.tif
6,Healthy,75,Data_MC/images/PE_RBCs_control_6_3hrs_2.tif
7,Healthy,20,Data_MC/images/PE_RBCs_NPs_1-200_4_3hrs_1.tif
8,Healthy,48,Data_MC/images/PP_RBCs_NPs_1-10_3_3hrs_2.tif
9,,20,Data_MC/images/PS_RBCs_NPs_1-20_1_3hrs_4.tif
10,Stressed,34,Data_MC/images/PE_RBCs_NPs_1-10_5_3hrs_1.tif
11,Healthy,32,Data_MC/images/PE_RBCs_NPs_1-50_4_3hrs_4.tif
12,Healthy,26,Data_MC/images/PP_RBCs_control_3_15hrs_1.tif
13,Stressed,3,Data_MC/images/PE_RBCs_NPs_1-50_2_3hrs_4.tif
14,Healthy,37,Data_MC/images/PP_RBCs_NPs_1-20_1_3hrs_4.tif
15,,22,Data_MC/images/PP_RBCs_NPs_1-50_2_3hrs_2.tif
16,Healthy,12,Data_MC/images/PS_RBCs_control_3_3hrs_4.tif
17,Healthy,23,Data_MC/images/PP_RBCs_control_4_15hrs_1.tif
18,,74,Data_MC/images/PP_RBCs_NPs_1-20_6_3hrs_4.tif
19,Healthy,24,Data_MC/images/PE_RBCs_NPs_1-50_2_3hrs_2.tif
20,Healthy,12,Data_MC/images/PE_RBCs_control_6_15hrs_3.tif
21,Dead,67,Data_MC/images/PS_RBCs_NPs_1-200_2_15hrs_3.tif
22,Dead,25,Data_MC/images/PS_RBCs_NPs_1-10_5_15hrs_3.tif
23,Dead,22,Data_MC/images/PE_RBCs_NPs_1-10_4_15hrs_1.tif
24,Dead,41,Data_MC/images/PS_RBCs_NPs_1-200_3_15hrs_4.tif
25,Stressed,21,Data_MC/images/PP_RBCs_NPs_1-200_1_3hrs_4.tif
26,Crenated,75,Data_MC/images/PP_RBCs_NPs_1-20_1_3hrs_3.tif
27,Stressed,18,Data_MC/images/PS_RBCs_NPs_1-10_4_3hrs_1.tif
28,Healthy,13,Data_MC/images/PP_RBCs_NPs_1-10_2_3hrs_2.tif
29,Stressed,14,Data_MC/images/PE_RBCs_NPs_1-200_4_3hrs_2.tif
30,Dead,66,Data_MC/images/PE_RBCs_control_1_15hrs_3.tif
31,Stressed,34,Data_MC/images/PP_RBCs_NPs_1-10_7_3hrs_4.tif
32,Dead,47,Data_MC/images/PP_RBCs_NPs_1-20_4_15hrs_1.tif
33,Healthy,62,Data_MC/images/PP_RBCs_NPs_1-200_2_3hrs_2.tif
34,,29,Data_MC/images/PE_RBCs_NPs_1-20_6_15hrs_4.tif
35,,21,Data_MC/images/PE_RBCs_NPs_1-20_6_3hrs_2.tif
36,Healthy,21,Data_MC/images/PE_RBCs_NPs_1-200_1_15hrs_3.tif
37,Healthy,78,Data_MC/images/PP_RBCs_NPs_1-20_3_3hrs_1.tif
38,,81,Data_MC/images/PE_RBCs_NPs_1-20_4_15hrs_1.tif
39,Healthy,44,Data_MC/images/PS_RBCs_NPs_1-10_5_3hrs_1.tif
40,,33,Data_MC/images/PP_RBCs_NPs_1-50_4_3hrs_1.tif
41,Healthy,1,Data_MC/images/PE_RBCs_NPs_1-10_3_3hrs_2.tif
42,Stressed,36,Data_MC/images/PP_RBCs_control_6_3hrs_1.tif
43,,20,Data_MC/images/PE_RBCs_control_4_3hrs_3.tif
44,Healthy,57,Data_MC/images/PP_RBCs_NPs_1-10_6_3hrs_2.tif
45,Dead,50,Data_MC/images/PS_RBCs_control_4_15hrs_3.tif
46,,103,Data_MC/images/PP_RBCs_NPs_1-200_4_15hrs_2.tif
47,Dead,40,Data_MC/images/PP_RBCs_NPs_1-200_6_15hrs_2.tif
48,Stressed,34,Data_MC/images/PP_RBCs_NPs_1-10_1_3hrs_1.tif
49,Crenated,87,Data_MC/images/PP_RBCs_NPs_1-10_7_3hrs_1.tif
50,Crenated,65,Data_MC/images/PP_RBCs_control_2_3hrs_4.tif
51,,51,Data_MC/images/PE_RBCs_control_4_3hrs_2.tif
52,Healthy,31,Data_MC/images/PS_RBCs_NPs_1-50_3_15hrs_1.tif
53,Dead,8,Data_MC/images/PE_RBCs_NPs_1-10_3_15hrs_4.tif
54,Healthy,8,Data_MC/images/PP_RBCs_NPs_1-50_3_15hrs_3.tif
55,Healthy,12,Data_MC/images/PE_RBCs_control_1_3hrs_1.tif
56,Healthy,39,Data_MC/images/PE_RBCs_control_4_3hrs_1.tif
57,Crenated,39,Data_MC/images/PE_RBCs_NPs_1-20_7_15hrs_2.tif
58,Dead,63,Data_MC/images/PS_RBCs_NPs_1-50_2_15hrs_2.tif
59,,132,Data_MC/images/PS_RBCs_NPs_1-200_5_15hrs_1.tif
60,Dead,74,Data_MC/images/PS_RBCs_NPs_1-50_2_15hrs_1.tif
61,Healthy,48,Data_MC/images/PS_RBCs_NPs_1-20_2_3hrs_2.tif
62,Healthy,55,Data_MC/images/PS_RBCs_control_4_3hrs_3.tif
63,Healthy,15,Data_MC/images/PP_RBCs_NPs_1-50_2_3hrs_2.tif
64,Healthy,43,Data_MC/images/PS_RBCs_NPs_1-50_1_3hrs_1.tif
65,Healthy,68,Data_MC/images/PP_RBCs_control_2_3hrs_1.tif
66,Healthy,25,Data_MC/images/PE_RBCs_control_4_15hrs_1.tif
67,Healthy,70,Data_MC/images/PP_RBCs_control_2_3hrs_2.tif
68,Stressed,26,Data_MC/images/PE_RBCs_NPs_1-50_1_15hrs_4.tif
69,Healthy,36,Data_MC/images/PS_RBCs_NPs_1-20_3_3hrs_3.tif
70,Healthy,3,Data_MC/images/PE_RBCs_NPs_1-200_3_15hrs_4.tif
71,Healthy,23,Data_MC/images/PS_RBCs_NPs_1-50_2_3hrs_2.tif
72,Healthy,42,Data_MC/images/PE_RBCs_NPs_1-200_3_3hrs_1.tif
73,Crenated,112,Data_MC/images/PP_RBCs_control_3_3hrs_3.tif
74,,24,Data_MC/images/PE_RBCs_NPs_1-20_5_3hrs_2.tif
75,Healthy,78,Data_MC/images/PP_RBCs_NPs_1-10_5_3hrs_4.tif
76,,60,Data_MC/images/PS_RBCs_control_2_3hrs_3.tif
77,Healthy,6,Data_MC/images/PP_RBCs_NPs_1-50_1_3hrs_2.tif
78,Dead,17,Data_MC/images/PE_RBCs_NPs_1-10_4_15hrs_4.tif
79,Stressed,16,Data_MC/images/PP_RBCs_control_5_3hrs_4.tif
80,Healthy,87,Data_MC/images/PE_RBCs_control_4_3hrs_2.tif
81,Dead,36,Data_MC/images/PP_RBCs_NPs_1-20_2_15hrs_2.tif
82,Healthy,26,Data_MC/images/PE_RBCs_control_6_15hrs_2.tif
83,Healthy,49,Data_MC/images/PP_RBCs_NPs_1-20_4_3hrs_1.tif
84,Stressed,11,Data_MC/images/PP_RBCs_NPs_1-20_5_15hrs_2.tif
85,Stressed,19,Data_MC/images/PS_RBCs_NPs_1-10_1_3hrs_4.tif
86,Healthy,2,Data_MC/images/PE_RBCs_control_2_3hrs_2.tif
87,Dead,30,Data_MC/images/PP_RBCs_NPs_1-20_2_15hrs_4.tif
88,Stressed,22,Data_MC/images/PS_RBCs_NPs_1-50_6_3hrs_3.tif
89,Healthy,77,Data_MC/images/PS_RBCs_NPs_1-20_5_3hrs_2.tif
90,,68,Data_MC/images/PE_RBCs_NPs_1-50_3_15hrs_1.tif
91,Healthy,40,Data_MC/images/PS_RBCs_control_3_3hrs_3.tif
92,Healthy,46,Data_MC/images/PE_RBCs_NPs_1-50_1_3hrs_3.tif
93,Stressed,2,Data_MC/images/PS_RBCs_NPs_1-10_2_3hrs_4.tif
94,Healthy,41,Data_MC/images/PS_RBCs_NPs_1-10_5_3hrs_3.tif
95,,50,Data_MC/images/PS_RBCs_NPs_1-10_4_15hrs_4.tif
96,Healthy,7,Data_MC/images/PP_RBCs_control_3_15hrs_1.tif
97,Crenated,61,Data_MC/images/PS_RBCs_NPs_1-200_4_3hrs_3.tif
