feature,importance
bf_gldm_GrayLevelVariance,1.0
custom_texture_entropy_std,0.5504832997853325
cell_local_bg_michelson,0.23644441311128475
shape_Elongation,0.10153458510827629
bf_intensity_Minimum,0.08469152084764768
shape_diameter,0.0671258781345132
bf_glcm_DifferenceEntropy,0.04969049019317412
bf_gldm_HighGrayLevelEmphasis,0.03201183492733884
texture_lbp_entropy,0.028298526290632352
bf_intensity_RootMeanSquared,0.026540934658404725
cell_bg_abs_contrast,0.021419575341854503
bf_intensity_10Percentile,0.015861239106053283
shape_eccentricity,0.01477950550544739
bf_gldm_GrayLevelNonUniformity,0.011900583995125068
shape_bbox_area,0.01145583762134159
crenation_perimeter_area_ratio,0.009427963616825553
cell_to_local_bg_ratio,2.532230871360818e-16
image_bg_mean,0.0
cell_bg_z_median,0.0
texture_local_std_mean,0.0
texture_local_std_std,0.0
texture_dog_abs_mean,0.0
texture_sobel_mean,0.0
texture_sobel_std,0.0
texture_dog_std,0.0
custom_texture_local_contrast,0.0
custom_texture_entropy_mean,0.0
cell_bg_z_std,0.0
bg_median_intensity,0.0
custom_texture_edge_density,0.0
custom_texture_laplacian_var,0.0
custom_texture_iqr,0.0
custom_texture_range,0.0
custom_texture_std,0.0
crenation_indentation_density,0.0
crenation_spike_density,0.0
crenation_num_indentations,0.0
crenation_num_spikes,0.0
crenation_max_radial_deviation,0.0
crenation_radial_variation,0.0
crenation_roughness_index,0.0
crenation_solidity,0.0
texture_lbp_uniformity,0.0
cell_bg_ratio,0.0
bg_mean_intensity,0.0
local_bg_iqr,0.0
radial_profile_range,0.0
radial_edge_center_diff,0.0
image_bg_median,0.0
radial_center_edge_diff,0.0
radial_center_edge_ratio,0.0
radial_edge_mean,0.0
radial_mid_mean,0.0
radial_center_mean,0.0
cell_internal_contrast_score,0.0
cell_dynamic_range_to_bg,0.0
cell_iqr_to_bg_iqr,0.0
cell_std_to_bg_std,0.0
image_bg_std,0.0
cell_bg_percent_difference,0.0
local_bg_dynamic_range,0.0
cell_dynamic_range,0.0
cell_iqr,0.0
cell_std,0.0
cell_local_bg_z,0.0
cell_bg_z_mean,0.0
cell_local_bg_weber,0.0
cell_local_bg_abs_diff,0.0
local_bg_std,0.0
bf_glszm_SmallAreaLowGrayLevelEmphasis,0.0
local_bg_median,0.0
local_bg_mean,0.0
crenation_circularity,0.0
bf_glszm_LargeAreaLowGrayLevelEmphasis,0.0
bf_glszm_SmallAreaHighGrayLevelEmphasis,0.0
bf_intensity_Maximum,0.0
bf_glcm_DifferenceAverage,0.0
bf_glcm_Autocorrelation,0.0
bf_glcm_Correlation,0.0
bf_glcm_Contrast,0.0
bf_intensity_Variance,0.0
bf_intensity_Uniformity,0.0
bf_intensity_TotalEnergy,0.0
bf_intensity_RootMeanSquared.1,0.0
bf_intensity_RobustMeanAbsoluteDeviation,0.0
bf_intensity_Range,0.0
bf_intensity_Median,0.0
bf_intensity_Mean,0.0
bf_intensity_MeanAbsoluteDeviation,0.0
bf_intensity_Kurtosis,0.0
bf_glszm_SmallAreaEmphasis,0.0
bf_intensity_InterquartileRange,0.0
bf_intensity_Entropy,0.0
bf_intensity_Energy,0.0
bf_intensity_90Percentile,0.0
shape_solidity,0.0
shape_extent,0.0
shape_convex_area,0.0
shape_Sphericity,0.0
shape_PixelSurface,0.0
shape_PerimeterSurfaceRatio,0.0
shape_Perimeter,0.0
shape_MinorAxisLength,0.0
shape_MaximumDiameter,0.0
bf_glcm_DifferenceVariance,0.0
bf_glcm_Id,0.0
bf_glcm_Idm,0.0
bf_glcm_Imc1,0.0
bf_glszm_SizeZoneNonUniformity,0.0
bf_glszm_LowGrayLevelZoneEmphasis,0.0
shape_MajorAxisLength,0.0
bf_glszm_LargeAreaHighGrayLevelEmphasis,0.0
bf_glszm_LargeAreaEmphasis,0.0
bf_glszm_HighGrayLevelZoneEmphasis,0.0
bf_glrlm_ShortRunLowGrayLevelEmphasis,0.0
bf_glrlm_ShortRunHighGrayLevelEmphasis,0.0
bf_glrlm_ShortRunEmphasis,0.0
bf_glrlm_RunVariance,0.0
bf_glrlm_RunPercentage,0.0
bf_glrlm_RunLengthNonUniformity,0.0
bf_glrlm_RunEntropy,0.0
bf_glrlm_LowGrayLevelRunEmphasis,0.0
bf_glrlm_LongRunLowGrayLevelEmphasis,0.0
bf_glrlm_LongRunHighGrayLevelEmphasis,0.0
bf_glrlm_LongRunEmphasis,0.0
bf_gldm_LowGrayLevelEmphasis,0.0
bf_gldm_DependenceVariance,0.0
bf_gldm_DependenceNonUniformity,0.0
bf_gldm_DependenceEntropy,0.0
bf_glcm_MCC,0.0
bf_glcm_JointEntropy,0.0
bf_glcm_JointEnergy,0.0
bf_glcm_JointAverage,0.0
bf_glcm_InverseVariance,0.0
bf_glcm_Imc12,0.0
cell_bg_z_p10,0.0
