feature,importance
cell_local_bg_weber,231
bf_glrlm_LongRunLowGrayLevelEmphasis,213
bf_intensity_Entropy,178
bf_intensity_MeanAbsoluteDeviation,171
bf_gldm_GrayLevelVariance,170
cell_to_local_bg_ratio,159
bf_gldm_HighGrayLevelEmphasis,124
crenation_radial_variation,111
bf_intensity_InterquartileRange,79
bf_intensity_10Percentile,72
local_bg_mean,56
local_bg_std,45
shape_solidity,32
bf_intensity_Maximum,30
cell_local_bg_z,23
bf_glrlm_ShortRunHighGrayLevelEmphasis,22
shape_eccentricity,20
bf_intensity_RootMeanSquared.1,20
shape_extent,18
bf_intensity_Variance,14
cell_local_bg_abs_diff,13
radial_center_edge_diff,12
cell_dynamic_range,12
bf_intensity_Kurtosis,11
bf_intensity_Uniformity,10
bf_intensity_Range,9
radial_center_edge_ratio,9
bf_glrlm_LongRunHighGrayLevelEmphasis,8
cell_std_to_bg_std,8
crenation_max_radial_deviation,8
bf_gldm_LowGrayLevelEmphasis,7
bf_glszm_HighGrayLevelZoneEmphasis,7
bf_intensity_RobustMeanAbsoluteDeviation,7
radial_center_mean,7
cell_dynamic_range_to_bg,5
radial_mid_mean,5
radial_edge_center_diff,5
crenation_spike_density,4
cell_iqr_to_bg_iqr,4
radial_profile_range,4
bf_intensity_RootMeanSquared,4
bf_glrlm_LowGrayLevelRunEmphasis,4
bf_gldm_GrayLevelNonUniformity,4
bg_mean_intensity,3
bf_intensity_Energy,2
cell_internal_contrast_score,2
bf_glrlm_ShortRunLowGrayLevelEmphasis,2
radial_edge_mean,1
bf_intensity_Minimum,1
local_bg_dynamic_range,1
bg_median_intensity,0
bf_intensity_90Percentile,0
bf_intensity_Mean,0
bf_intensity_Median,0
local_bg_iqr,0
bf_intensity_TotalEnergy,0
cell_local_bg_michelson,0
bf_glszm_LargeAreaHighGrayLevelEmphasis,0
bf_glszm_LowGrayLevelZoneEmphasis,0
bf_glszm_SmallAreaHighGrayLevelEmphasis,0
bf_glszm_SmallAreaLowGrayLevelEmphasis,0
local_bg_median,0
crenation_solidity,0
bf_glszm_LargeAreaLowGrayLevelEmphasis,0
