annotation_id,label,cell_id,image
1,,37,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_1_2.tif
2,Healthy,47,Data_MC_3hrs/images/PP_RBCs_NPs_1-50_2_3.tif
3,Healthy,41,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_2_3.tif
4,,30,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_6_1.tif
5,,34,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_4_2.tif
6,Healthy,57,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_6_4.tif
7,,17,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_4_3.tif
8,,20,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_1_3.tif
9,Healthy,34,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_6_2.tif
10,,25,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_6_3.tif
11,Healthy,7,Data_MC_3hrs/images/PS_RBCs_control_3_4.tif
12,,49,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_6_3.tif
13,Healthy,12,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_1_3.tif
14,Crenated,47,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_1_4.tif
15,,55,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_1_4.tif
16,Healthy,60,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_5_1.tif
17,,49,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_3_4.tif
18,,67,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_6_3.tif
19,,35,Data_MC_3hrs/images/PE_RBCs_control_1_1.tif
20,,14,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_5_2.tif
21,,66,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_1_4.tif
22,,32,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_2_1.tif
23,,22,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_4_1.tif
24,,55,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_6_1.tif
25,,18,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_3_4.tif
26,Healthy,65,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_5_1.tif
27,,67,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_1_3.tif
28,,69,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_3_1.tif
29,,37,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_1_3.tif
30,,28,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_4_3.tif
31,Healthy,57,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_2_3.tif
32,,36,Data_MC_3hrs/images/PE_RBCs_control_1_4.tif
33,Crenated,32,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_3_2.tif
34,,73,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_3_4.tif
35,,65,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_1_1.tif
36,,19,Data_MC_3hrs/images/PP_RBCs_control_5_1.tif
37,,16,Data_MC_3hrs/images/PS_RBCs_control_1_2.tif
38,,46,Data_MC_3hrs/images/PP_RBCs_NPs_1-50_1_1.tif
39,,14,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_5_3.tif
40,,71,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_7_3.tif
41,,36,Data_MC_3hrs/images/PE_RBCs_control_3_1.tif
42,,100,Data_MC_3hrs/images/PP_RBCs_control_5_3.tif
43,Healthy,15,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_5_3.tif
44,Stressed,21,Data_MC_3hrs/images/PP_RBCs_NPs_1-50_5_1.tif
45,,32,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_2_1.tif
46,Healthy,33,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_5_3.tif
47,,37,Data_MC_3hrs/images/PS_RBCs_control_5_4.tif
48,,65,Data_MC_3hrs/images/PP_RBCs_NPs_1-50_5_4.tif
49,,59,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_3_3.tif
50,,56,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_5_2.tif
51,,51,Data_MC_3hrs/images/PS_RBCs_control_4_4.tif
52,,60,Data_MC_3hrs/images/PS_RBCs_control_3_1.tif
53,Healthy,39,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_3_1.tif
54,,4,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_3_1.tif
55,Healthy,37,Data_MC_3hrs/images/PP_RBCs_control_2_4.tif
56,Healthy,26,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_2_4.tif
57,Stressed,57,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_4_1.tif
58,Healthy,26,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_4_3.tif
59,Stressed,38,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_4_2.tif
60,,63,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_7_1.tif
61,Healthy,11,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_5_4.tif
62,,51,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_6_3.tif
63,Healthy,12,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_2_2.tif
64,Healthy,67,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_6_4.tif
65,Healthy,48,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_2_2.tif
66,Healthy,61,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_5_4.tif
67,Stressed,4,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_4_4.tif
68,Healthy,5,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_6_4.tif
69,Healthy,49,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_2_4.tif
70,,82,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_2_4.tif
71,Healthy,9,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_5_4.tif
72,Stressed,83,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_3_4.tif
73,Healthy,8,Data_MC_3hrs/images/PE_RBCs_control_4_4.tif
74,,33,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_2_1.tif
75,Stressed,37,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_5_4.tif
76,,7,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_4_1.tif
77,,50,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_5_3.tif
78,,27,Data_MC_3hrs/images/PP_RBCs_control_3_1.tif
79,Healthy,66,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_1_4.tif
80,Healthy,44,Data_MC_3hrs/images/PP_RBCs_control_5_1.tif
81,,4,Data_MC_3hrs/images/PP_RBCs_control_1_2.tif
82,,71,Data_MC_3hrs/images/PP_RBCs_NPs_1-50_4_1.tif
83,,33,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_1_4.tif
84,Stressed,44,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_4_1.tif
85,,73,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_3_4.tif
86,Stressed,82,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_5_2.tif
87,Healthy,3,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_4_1.tif
88,Dead,62,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_3_2.tif
89,Healthy,83,Data_MC_3hrs/images/PS_RBCs_control_1_3.tif
90,Stressed,42,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_1_1.tif
91,,60,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_4_4.tif
92,Stressed,38,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_4_4.tif
93,Healthy,31,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_6_3.tif
94,Healthy,35,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_4_4.tif
95,,27,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_5_2.tif
96,,2,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_4_1.tif
97,Stressed,41,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_5_3.tif
98,,37,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_2_1.tif
99,Stressed,15,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_1_4.tif
100,,24,Data_MC_3hrs/images/PP_RBCs_control_4_2.tif
101,,15,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_5_2.tif
102,,40,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_6_4.tif
103,,28,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_1_4.tif
104,,31,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_2_1.tif
105,,36,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_1_4.tif
106,Dead,68,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_4_1.tif
107,Crenated,21,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_7_2.tif
108,Stressed,73,Data_MC_3hrs/images/PP_RBCs_NPs_1-50_1_1.tif
109,,19,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_1_2.tif
110,,42,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_1_3.tif
111,,76,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_5_1.tif
112,Stressed,16,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_1_3.tif
113,,76,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_6_2.tif
114,,3,Data_MC_3hrs/images/PP_RBCs_NPs_1-50_5_1.tif
115,Dead,68,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_1_1.tif
116,,19,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_5_3.tif
117,,70,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_3_1.tif
118,,43,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_1_3.tif
119,,2,Data_MC_3hrs/images/PS_RBCs_control_1_2.tif
120,,50,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_1_1.tif
121,,3,Data_MC_3hrs/images/PE_RBCs_control_6_3.tif
122,,46,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_1_1.tif
123,Crenated,58,Data_MC_3hrs/images/PE_RBCs_control_3_3.tif
124,Dead,52,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_1_3.tif
125,Stressed,59,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_6_4.tif
126,,19,Data_MC_3hrs/images/PP_RBCs_control_3_2.tif
127,,23,Data_MC_3hrs/images/PS_RBCs_control_5_2.tif
128,,87,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_2_4.tif
129,,32,Data_MC_3hrs/images/PP_RBCs_control_2_1.tif
130,,46,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_1_4.tif
131,,3,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_1_1.tif
132,Dead,64,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_4_1.tif
133,,90,Data_MC_3hrs/images/PE_RBCs_control_4_4.tif
134,,57,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_5_4.tif
135,,31,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_1_3.tif
136,,27,Data_MC_3hrs/images/PS_RBCs_NPs_1-200_3_4.tif
137,,15,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_1_2.tif
138,,62,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_6_4.tif
139,,58,Data_MC_3hrs/images/PS_RBCs_NPs_1-50_2_4.tif
140,,38,Data_MC_3hrs/images/PE_RBCs_control_1_1.tif
141,,220,Data_MC_3hrs/images/PP_RBCs_control_3_4.tif
142,,41,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_5_4.tif
143,,5,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_3_4.tif
144,,16,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_1_3.tif
145,,48,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_2_1.tif
146,,51,Data_MC_3hrs/images/PP_RBCs_control_3_2.tif
147,,9,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_6_2.tif
148,,54,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_1_1.tif
149,,43,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_2_3.tif
150,,62,Data_MC_3hrs/images/PE_RBCs_NPs_1-10_2_1.tif
151,,70,Data_MC_3hrs/images/PS_RBCs_control_1_4.tif
152,,70,Data_MC_3hrs/images/PP_RBCs_NPs_1-200_4_4.tif
153,,63,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_2_1.tif
154,,11,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_4_4.tif
155,,47,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_1_1.tif
156,,12,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_2_2.tif
157,,79,Data_MC_3hrs/images/PE_RBCs_NPs_1-50_6_2.tif
158,Crenated,84,Data_MC_3hrs/images/PP_RBCs_NPs_1-10_6_2.tif
159,,45,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_3_3.tif
160,,5,Data_MC_3hrs/images/PS_RBCs_NPs_1-20_1_4.tif
161,,39,Data_MC_3hrs/images/PP_RBCs_control_6_1.tif
162,Crenated,88,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_2_3.tif
163,,6,Data_MC_3hrs/images/PS_RBCs_NPs_1-10_3_3.tif
164,,79,Data_MC_3hrs/images/PE_RBCs_NPs_1-20_1_1.tif
165,,4,Data_MC_3hrs/images/PE_RBCs_NPs_1-200_5_2.tif
166,,61,Data_MC_3hrs/images/PP_RBCs_NPs_1-20_1_1.tif
