annotation_id,label,cell_id,image
1,Healthy,4,Data_for_model/images/Control2_15_hrs_PE_1.tif
2,Healthy,7,Data_for_model/images/Crenated_14.tif
3,Stressed,30,Data_for_model/images/Crenated_15.tif
4,Dead,25,Data_for_model/images/Dead_cells_16.tif
5,Dead,13,Data_for_model/images/Dead_cells_4.tif
6,Healthy,9,Data_for_model/images/Control1_15_hrs_PE_4.tif
7,Crenated,52,Data_for_model/images/Crenated_12.tif
8,Crenated,50,Data_for_model/images/Crenated_8.tif
9,Crenated,32,Data_for_model/images/Crenated_11.tif
10,Healthy,35,Data_for_model/images/Control1_15_hrs_PE_3.tif
11,Stressed,30,Data_for_model/images/Crenated_14.tif
12,Stressed,26,Data_for_model/images/Crenated_12.tif
13,Stressed,35,Data_for_model/images/Crenated_3.tif
14,Dead,59,Data_for_model/images/Control1_15_hrs_PE_3.tif
15,Stressed,28,Data_for_model/images/Crenated_6.tif
16,Stressed,9,Data_for_model/images/Crenated_10.tif
17,Stressed,23,Data_for_model/images/Crenated_4.tif
18,Crenated,67,Data_for_model/images/Crenated_10.tif
19,Dead,4,Data_for_model/images/Dead_cells_5.tif
20,Healthy,37,Data_for_model/images/Control1_15_hrs_PE_3.tif
21,Stressed,2,Data_for_model/images/Crenated_15.tif
22,Crenated,69,Data_for_model/images/Crenated_12.tif
23,Healthy,4,Data_for_model/images/Crenated_12.tif
24,Dead,31,Data_for_model/images/Dead_cells_13.tif
25,Stressed,43,Data_for_model/images/Crenated_15.tif
26,Dead,22,Data_for_model/images/Dead_cells_9.tif
27,Healthy,28,Data_for_model/images/Control1_15_hrs_PE_3.tif
28,Stressed,27,Data_for_model/images/Crenated_13.tif
29,Stressed,12,Data_for_model/images/Crenated_1.tif
30,Healthy,25,Data_for_model/images/Control2_15_hrs_PE_3.tif
31,Dead,17,Data_for_model/images/Dead_cells_14.tif
32,Healthy,41,Data_for_model/images/Control1_15_hrs_PE_3.tif
33,Dead,13,Data_for_model/images/Dead_cells_8.tif
34,Stressed,10,Data_for_model/images/Crenated_12.tif
35,Healthy,13,Data_for_model/images/Control1_15_hrs_PE_2.tif
36,Stressed,1,Data_for_model/images/Crenated_14.tif
37,Stressed,27,Data_for_model/images/Crenated_4.tif
38,Dead,11,Data_for_model/images/Dead_cells_7.tif
39,Stressed,9,Data_for_model/images/Crenated_9.tif
40,,16,Data_for_model/images/Dead_cells_6.tif
41,,6,Data_for_model/images/Dead_cells_6.tif
42,Healthy,12,Data_for_model/images/Crenated_2.tif
43,Crenated,54,Data_for_model/images/Crenated_1.tif
44,Crenated,52,Data_for_model/images/Crenated_7.tif
45,Crenated,57,Data_for_model/images/Crenated_8.tif
46,Dead,15,Data_for_model/images/Dead_cells_15.tif
47,Crenated,51,Data_for_model/images/Crenated_1.tif
48,Dead,14,Data_for_model/images/Dead_cells_1.tif
49,Healthy,5,Data_for_model/images/Crenated_14.tif
50,Stressed,2,Data_for_model/images/Crenated_9.tif
51,Stressed,9,Data_for_model/images/Crenated_13.tif
52,Crenated,66,Data_for_model/images/Crenated_11.tif
53,Dead,67,Data_for_model/images/Control1_15_hrs_PE_3.tif
54,Stressed,15,Data_for_model/images/Crenated_10.tif
55,Crenated,67,Data_for_model/images/Control2_15_hrs_PE_1.tif
56,Dead,18,Data_for_model/images/Dead_cells_2.tif
57,Healthy,39,Data_for_model/images/Crenated_7.tif
58,,30,Data_for_model/images/Dead_cells_9.tif
59,Crenated,50,Data_for_model/images/Crenated_1.tif
60,Healthy,2,Data_for_model/images/Dead_cells_15.tif
61,Crenated,54,Data_for_model/images/Crenated_8.tif
62,Crenated,47,Data_for_model/images/Crenated_5.tif
63,Stressed,46,Data_for_model/images/Crenated_13.tif
64,Dead,68,Data_for_model/images/Control2_15_hrs_PE_2.tif
65,Crenated,49,Data_for_model/images/Crenated_15.tif
66,Dead,23,Data_for_model/images/Dead_cells_5.tif
67,Healthy,31,Data_for_model/images/Control1_15_hrs_PE_2.tif
68,Healthy,2,Data_for_model/images/Crenated_13.tif
69,Dead,21,Data_for_model/images/Dead_cells_3.tif
70,Dead,57,Data_for_model/images/Control1_15_hrs_PE_3.tif
71,,5,Data_for_model/images/Dead_cells_5.tif
72,Crenated,42,Data_for_model/images/Crenated_1.tif
73,Crenated,56,Data_for_model/images/Crenated_5.tif
74,Healthy,28,Data_for_model/images/Control2_15_hrs_PE_3.tif
75,Stressed,8,Data_for_model/images/Crenated_11.tif
76,Crenated,67,Data_for_model/images/Crenated_6.tif
77,Dead,35,Data_for_model/images/Dead_cells_7.tif
78,Dead,9,Data_for_model/images/Dead_cells_13.tif
79,Crenated,40,Data_for_model/images/Crenated_2.tif
80,Stressed,28,Data_for_model/images/Crenated_9.tif
81,Stressed,31,Data_for_model/images/Crenated_6.tif
82,,7,Data_for_model/images/Dead_cells_14.tif
83,Dead,67,Data_for_model/images/Control2_15_hrs_PE_2.tif
84,Healthy,12,Data_for_model/images/Control2_15_hrs_PE_2.tif
85,Dead,61,Data_for_model/images/Control1_15_hrs_PE_4.tif
86,Dead,17,Data_for_model/images/Dead_cells_10.tif
87,Crenated,53,Data_for_model/images/Crenated_7.tif
88,,21,Data_for_model/images/Dead_cells_9.tif
89,Crenated,65,Data_for_model/images/Crenated_10.tif
90,Healthy,35,Data_for_model/images/Crenated_12.tif
91,Dead,10,Data_for_model/images/Dead_cells_16.tif
92,Stressed,1,Data_for_model/images/Crenated_5.tif
93,Dead,2,Data_for_model/images/Dead_cells_13.tif
94,Healthy,15,Data_for_model/images/Control2_15_hrs_PE_1.tif
95,Dead,8,Data_for_model/images/Dead_cells_3.tif
96,Healthy,43,Data_for_model/images/Control2_15_hrs_PE_2.tif
97,Healthy,17,Data_for_model/images/Control2_15_hrs_PE_1.tif
98,Healthy,8,Data_for_model/images/Crenated_14.tif
99,Stressed,19,Data_for_model/images/Crenated_11.tif
100,Crenated,56,Data_for_model/images/Crenated_1.tif
101,Dead,14,Data_for_model/images/Dead_cells_13.tif
102,Stressed,14,Data_for_model/images/Crenated_1.tif
103,Stressed,7,Data_for_model/images/Crenated_8.tif
104,Healthy,24,Data_for_model/images/Crenated_14.tif
105,Crenated,86,Data_for_model/images/Crenated_15.tif
106,Healthy,37,Data_for_model/images/Control2_15_hrs_PE_3.tif
107,Healthy,12,Data_for_model/images/Crenated_5.tif
108,Stressed,13,Data_for_model/images/Crenated_7.tif
109,Dead,20,Data_for_model/images/Dead_cells_9.tif
110,Stressed,36,Data_for_model/images/Crenated_12.tif
111,Healthy,40,Data_for_model/images/Control2_15_hrs_PE_2.tif
112,Dead,36,Data_for_model/images/Crenated_8.tif
113,Dead,47,Data_for_model/images/Crenated_9.tif
114,,79,Data_for_model/images/Crenated_13.tif
115,Healthy,7,Data_for_model/images/Control2_15_hrs_PE_3.tif
116,Dead,18,Data_for_model/images/Dead_cells_10.tif
117,Dead,18,Data_for_model/images/Dead_cells_11.tif
118,,32,Data_for_model/images/Dead_cells_3.tif
119,Crenated,65,Data_for_model/images/Crenated_11.tif
120,Crenated,69,Data_for_model/images/Crenated_13.tif
121,Dead,13,Data_for_model/images/Dead_cells_7.tif
122,Dead,65,Data_for_model/images/Control1_15_hrs_PE_4.tif
123,Stressed,32,Data_for_model/images/Crenated_12.tif
124,Stressed,23,Data_for_model/images/Crenated_14.tif
125,Dead,50,Data_for_model/images/Dead_cells_6.tif
126,Crenated,50,Data_for_model/images/Crenated_12.tif
127,Stressed,48,Data_for_model/images/Crenated_15.tif
128,,27,Data_for_model/images/Dead_cells_1.tif
129,,20,Data_for_model/images/Crenated_6.tif
130,Dead,64,Data_for_model/images/Control1_15_hrs_PE_4.tif
131,Healthy,15,Data_for_model/images/Control2_15_hrs_PE_3.tif
132,Dead,11,Data_for_model/images/Dead_cells_4.tif
133,Crenated,45,Data_for_model/images/Crenated_3.tif
134,Crenated,54,Data_for_model/images/Crenated_13.tif
135,Healthy,35,Data_for_model/images/Control2_15_hrs_PE_1.tif
136,Healthy,11,Data_for_model/images/Control1_15_hrs_PE_2.tif
137,Stressed,2,Data_for_model/images/Crenated_7.tif
138,Dead,23,Data_for_model/images/Dead_cells_12.tif
139,Dead,29,Data_for_model/images/Dead_cells_17.tif
140,Crenated,31,Data_for_model/images/Crenated_11.tif
141,Crenated,32,Data_for_model/images/Crenated_8.tif
142,Dead,25,Data_for_model/images/Dead_cells_15.tif
143,Stressed,38,Data_for_model/images/Crenated_1.tif
144,Healthy,10,Data_for_model/images/Control1_15_hrs_PE_4.tif
145,Dead,14,Data_for_model/images/Dead_cells_15.tif
146,Healthy,40,Data_for_model/images/Control1_15_hrs_PE_2.tif
147,Stressed,41,Data_for_model/images/Crenated_5.tif
148,Crenated,37,Data_for_model/images/Crenated_7.tif
149,,12,Data_for_model/images/Dead_cells_5.tif
