feature,importance
texture_local_std_mean,1.0
custom_texture_entropy_mean,0.6539855094626458
bf_glcm_Idm,0.25966115028947184
custom_texture_entropy_std,0.12885019676933634
crenation_spike_density,0.0991533392331843
radial_center_edge_ratio,0.0845726765878086
texture_sobel_mean,0.058589196100562
shape_solidity,0.05476315755294942
crenation_num_spikes,0.05014345266363217
crenation_perimeter_area_ratio,0.04256938222085809
shape_MinorAxisLength,0.04176685398544645
radial_mid_mean,0.03527613254771569
texture_local_std_std,0.03094209766256881
local_bg_median,0.025445457937636713
crenation_num_indentations,0.01881884663040834
bf_glrlm_ShortRunHighGrayLevelEmphasis,0.018196713636767795
bf_intensity_InterquartileRange,0.01818222027195009
bf_intensity_RootMeanSquared.1,0.008239676192124883
custom_texture_edge_density,0.0
custom_texture_range,0.0
custom_texture_local_contrast,0.0
custom_texture_laplacian_var,0.0
custom_texture_iqr,0.0
shape_Elongation,0.0
custom_texture_std,0.0
crenation_indentation_density,0.0
texture_dog_abs_mean,0.0
crenation_max_radial_deviation,0.0
crenation_radial_variation,0.0
crenation_roughness_index,0.0
crenation_solidity,0.0
crenation_circularity,0.0
bf_glszm_SmallAreaLowGrayLevelEmphasis,0.0
bf_glszm_SmallAreaHighGrayLevelEmphasis,0.0
bf_glszm_SmallAreaEmphasis,0.0
bf_glszm_SizeZoneNonUniformity,0.0
texture_sobel_std,0.0
bg_median_intensity_y,0.0
texture_dog_std,0.0
cell_std,0.0
radial_edge_center_diff,0.0
radial_center_edge_diff,0.0
radial_edge_mean,0.0
radial_center_mean,0.0
cell_internal_contrast_score,0.0
cell_dynamic_range_to_bg,0.0
cell_iqr_to_bg_iqr,0.0
cell_std_to_bg_std,0.0
local_bg_iqr,0.0
local_bg_dynamic_range,0.0
cell_dynamic_range,0.0
cell_iqr,0.0
cell_local_bg_z,0.0
texture_lbp_entropy,0.0
cell_local_bg_michelson,0.0
cell_local_bg_weber,0.0
cell_local_bg_abs_diff,0.0
cell_to_local_bg_ratio,0.0
local_bg_std,0.0
local_bg_mean,0.0
cell_bg_percent_difference_y,0.0
cell_bg_ratio_y,0.0
cell_bg_abs_contrast_y,0.0
bg_mean_intensity_y,0.0
bf_glszm_LargeAreaLowGrayLevelEmphasis,0.0
texture_lbp_uniformity,0.0
bf_glszm_LowGrayLevelZoneEmphasis,0.0
bf_glrlm_ShortRunLowGrayLevelEmphasis,0.0
bf_glszm_LargeAreaHighGrayLevelEmphasis,0.0
bf_glcm_Autocorrelation,0.0
bf_glcm_Contrast,0.0
bf_intensity_Variance,0.0
bf_intensity_Uniformity,0.0
bf_intensity_TotalEnergy,0.0
bf_intensity_RootMeanSquared,0.0
bf_intensity_RobustMeanAbsoluteDeviation,0.0
bf_intensity_Range,0.0
bf_intensity_Minimum,0.0
bf_intensity_Median,0.0
bf_intensity_Mean,0.0
bf_intensity_MeanAbsoluteDeviation,0.0
bf_intensity_Maximum,0.0
bf_intensity_Kurtosis,0.0
bf_intensity_Entropy,0.0
bf_intensity_Energy,0.0
bf_intensity_90Percentile,0.0
bf_intensity_10Percentile,0.0
shape_diameter,0.0
shape_eccentricity,0.0
shape_extent,0.0
shape_convex_area,0.0
shape_bbox_area,0.0
shape_Sphericity,0.0
shape_PixelSurface,0.0
shape_PerimeterSurfaceRatio,0.0
shape_Perimeter,0.0
shape_MaximumDiameter,0.0
bf_glcm_Correlation,0.0
bf_glcm_DifferenceAverage,0.0
bf_glszm_LargeAreaEmphasis,0.0
bf_glcm_DifferenceEntropy,0.0
bf_glszm_HighGrayLevelZoneEmphasis,0.0
shape_MajorAxisLength,0.0
bf_glrlm_ShortRunEmphasis,0.0
bf_glrlm_RunVariance,0.0
bf_glrlm_RunPercentage,0.0
bf_glrlm_RunLengthNonUniformity,0.0
bf_glrlm_RunEntropy,0.0
bf_glrlm_LowGrayLevelRunEmphasis,0.0
bf_glrlm_LongRunLowGrayLevelEmphasis,0.0
bf_glrlm_LongRunHighGrayLevelEmphasis,0.0
bf_glrlm_LongRunEmphasis,0.0
bf_gldm_HighGrayLevelEmphasis,0.0
bf_gldm_LowGrayLevelEmphasis,0.0
bf_gldm_GrayLevelVariance,0.0
bf_gldm_GrayLevelNonUniformity,0.0
bf_gldm_DependenceVariance,0.0
bf_gldm_DependenceNonUniformity,0.0
bf_gldm_DependenceEntropy,0.0
bf_glcm_MCC,0.0
bf_glcm_JointEntropy,0.0
bf_glcm_JointEnergy,0.0
bf_glcm_JointAverage,0.0
bf_glcm_InverseVariance,0.0
bf_glcm_Imc12,0.0
bf_glcm_Imc1,0.0
bf_glcm_Id,0.0
bf_glcm_DifferenceVariance,0.0
radial_profile_range,0.0
