image,cell_id,prob_dead,borderline_ghost,stage1_prediction,final_prediction,morph_confidence,prob_Crenated,prob_Healthy,prob_Stressed,review_flag,review_reason
Data_for_model/images/Control1_15_hrs_PE_2.tif,3,3.2734841781678625e-07,False,NotDead,Healthy,0.5766666666666667,0.07666666666666666,0.5766666666666667,0.3466666666666667,True,uncertain_morphology; 
Data_for_model/images/Control1_15_hrs_PE_2.tif,4,6.931911260554813e-07,False,NotDead,Healthy,0.95,0.0033333333333333335,0.95,0.04666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,5,2.260459209146859e-06,False,NotDead,Healthy,0.99,0.0033333333333333335,0.99,0.006666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,6,6.702332053798443e-07,False,NotDead,Healthy,0.9,0.02666666666666667,0.9,0.07333333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,7,3.3573391322594404e-07,False,NotDead,Healthy,0.99,0.0,0.99,0.01,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,10,6.102241811856146e-07,False,NotDead,Healthy,0.9866666666666667,0.0033333333333333335,0.9866666666666667,0.01,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,14,6.661316708234111e-07,False,NotDead,Healthy,0.9266666666666666,0.02,0.9266666666666666,0.05333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,15,1.2749336547490664e-05,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,18,8.531987110482753e-06,False,NotDead,Healthy,0.9433333333333334,0.016666666666666666,0.9433333333333334,0.04,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,19,0.00020941557531495292,False,NotDead,Healthy,0.9833333333333333,0.006666666666666667,0.9833333333333333,0.01,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,20,0.016650542634983112,False,NotDead,Healthy,0.9366666666666666,0.03,0.9366666666666666,0.03333333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,22,4.26682974946635e-05,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,26,2.906343227748742e-06,False,NotDead,Healthy,0.8,0.08666666666666667,0.8,0.11333333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,27,3.437778858250695e-07,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,28,6.209788517841375e-07,False,NotDead,Healthy,0.9466666666666667,0.016666666666666666,0.9466666666666667,0.03666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,29,3.651661043546639e-07,False,NotDead,Healthy,0.8466666666666667,0.04,0.8466666666666667,0.11333333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,30,7.211926603689633e-07,False,NotDead,Healthy,0.83,0.04,0.83,0.13,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,32,1.058189425640066e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_2.tif,33,3.1589818426880356e-05,False,NotDead,Healthy,0.9933333333333333,0.0,0.9933333333333333,0.006666666666666667,False,
