image,cell_id,label,stage1_dead_prediction,dead_probability,borderline_ghost,stage2_morphology_prediction,final_prediction
Data_for_model/images/Control1_15_hrs_PE_2.tif,2,Healthy,NotDead,3.255851910521912e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,8,Healthy,NotDead,0.00028308086935158183,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,9,Healthy,NotDead,4.7848958367624483e-05,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,11,Healthy,NotDead,3.4849697997385576e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,13,Healthy,NotDead,4.749738117371116e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,16,Healthy,NotDead,3.877730463841544e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,17,Healthy,NotDead,5.964496490817872e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,24,Healthy,NotDead,5.7577873232572685e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,31,Healthy,NotDead,5.402515550478881e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,38,Healthy,NotDead,0.00010850478026236399,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,40,Healthy,NotDead,4.1520333534994514e-05,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,45,Healthy,NotDead,3.9000707957592695e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_2.tif,47,Dead,Dead,0.9990199175408669,False,,Dead
Data_for_model/images/Control1_15_hrs_PE_2.tif,49,Dead,Dead,0.9991502836920624,False,,Dead
Data_for_model/images/Control1_15_hrs_PE_2.tif,51,Dead,Dead,0.9991325765501207,False,,Dead
Data_for_model/images/Control1_15_hrs_PE_3.tif,4,Healthy,NotDead,3.6837859688221286e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_3.tif,5,Healthy,NotDead,0.6220784694855219,True,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_3.tif,19,Healthy,NotDead,2.948421826909353e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_3.tif,26,Healthy,NotDead,5.32598105684734e-06,False,Healthy,Healthy
Data_for_model/images/Control1_15_hrs_PE_3.tif,28,Healthy,NotDead,4.043717431234661e-06,False,Healthy,Healthy
