feature,importance
bf_intensity_10Percentile,268
bf_intensity_Energy,226
bf_gldm_GrayLevelNonUniformity,219
crenation_max_radial_deviation,151
shape_solidity,141
bf_intensity_MeanAbsoluteDeviation,125
cell_local_bg_z,114
shape_eccentricity,78
crenation_spike_density,59
crenation_radial_variation,51
bf_intensity_Variance,51
cell_to_local_bg_ratio,47
bf_intensity_Uniformity,46
radial_center_edge_ratio,45
bf_intensity_RobustMeanAbsoluteDeviation,43
local_bg_mean,39
bf_glrlm_LongRunHighGrayLevelEmphasis,37
bf_intensity_Mean,34
bf_glrlm_ShortRunLowGrayLevelEmphasis,32
bg_median_intensity_y,30
bf_intensity_Entropy,29
bf_intensity_InterquartileRange,29
shape_extent,29
bf_glrlm_ShortRunHighGrayLevelEmphasis,25
radial_edge_mean,25
bf_glrlm_LongRunLowGrayLevelEmphasis,22
radial_mid_mean,22
radial_center_mean,20
bf_gldm_GrayLevelVariance,18
bf_intensity_Median,17
local_bg_std,17
radial_edge_center_diff,16
cell_std_to_bg_std,14
cell_iqr_to_bg_iqr,14
bf_glrlm_LowGrayLevelRunEmphasis,12
bg_mean_intensity_y,12
cell_local_bg_weber,11
cell_dynamic_range,10
radial_profile_range,10
bf_intensity_Kurtosis,10
bf_intensity_Minimum,10
cell_local_bg_abs_diff,9
bf_gldm_LowGrayLevelEmphasis,9
cell_internal_contrast_score,8
bf_intensity_RootMeanSquared.1,8
local_bg_median,7
cell_dynamic_range_to_bg,5
local_bg_iqr,5
bf_intensity_90Percentile,5
radial_center_edge_diff,5
bf_intensity_RootMeanSquared,5
bf_glszm_HighGrayLevelZoneEmphasis,3
local_bg_dynamic_range,2
bf_intensity_Maximum,2
bf_gldm_HighGrayLevelEmphasis,2
bf_intensity_Range,1
crenation_solidity,0
bf_glszm_SmallAreaLowGrayLevelEmphasis,0
bf_intensity_TotalEnergy,0
cell_local_bg_michelson,0
bf_glszm_LargeAreaHighGrayLevelEmphasis,0
bf_glszm_LowGrayLevelZoneEmphasis,0
bf_glszm_SmallAreaHighGrayLevelEmphasis,0
bf_glszm_LargeAreaLowGrayLevelEmphasis,0
