annotation_id,label,cell_id,image
1,Crenated,47,Data/images/Crenated_6.png
2,Healthy,37,Data/images/Control5_3.png
3,Healthy,20,Data/images/Crenated_7.png
4,Dead,16,Data/images/Dead_cells_19.png
5,Healthy,12,Data/images/Crenated_8.png
6,Healthy,17,Data/images/Control5_3.png
7,Healthy,39,Data/images/Crenated_13.png
9,Crenated,116,Data/images/Crenated_7.png
10,Crenated,41,Data/images/Crenated_6.png
11,Healthy,18,Data/images/Crenated_6.png
12,Dead,31,Data/images/Dead_cells_5.png
13,Healthy,23,Data/images/Crenated_4.png
14,Healthy,8,Data/images/Dead_cells_7.png
15,Healthy,15,Data/images/Crenated_3.png
16,Healthy,15,Data/images/Crenated_15.png
17,Healthy,17,Data/images/Crenated_4.png
18,Crenated,34,Data/images/Crenated_15.png
19,Crenated,57,Data/images/Crenated_9.png
20,Healthy,33,Data/images/Control5_3.png
21,Dead,19,Data/images/Dead_cells_3.png
22,Dead,6,Data/images/Dead_cells_20.png
24,Crenated,54,Data/images/Crenated_3.png
25,Dead,4,Data/images/Dead_cells_11.png
26,Dead,1,Data/images/Dead_cells_16.png
27,Crenated,21,Data/images/Crenated_4.png
28,Dead,35,Data/images/Dead_cells_6.png
29,Healthy,19,Data/images/Crenated_3.png
30,Dead,18,Data/images/Dead_cells_9.png
31,Healthy,34,Data/images/Crenated_8.png
32,Healthy,8,Data/images/Crenated_8.png
33,Healthy,46,Data/images/Crenated_15.png
34,Dead,6,Data/images/Dead_cells_3.png
35,Dead,23,Data/images/Dead_cells_6.png
36,Dead,8,Data/images/Dead_cells_18.png
37,Healthy,4,Data/images/Crenated_11.png
38,Crenated,43,Data/images/Crenated_11.png
39,Dead,4,Data/images/Dead_cells_12.png
40,Dead,41,Data/images/Dead_cells_6.png
41,Healthy,55,Data/images/Control5_3.png
42,Dead,3,Data/images/Dead_cells_1.png
43,Crenated,11,Data/images/Crenated_3.png
46,Crenated,10,Data/images/Crenated_1.png
47,Healthy,19,Data/images/Crenated_5.png
48,Dead,2,Data/images/Dead_cells_14.png
49,Healthy,14,Data/images/Crenated_4.png
50,Dead,25,Data/images/Dead_cells_12.png
51,Crenated,47,Data/images/Crenated_11.png
52,Crenated,31,Data/images/Crenated_5.png
53,Crenated,45,Data/images/Crenated_6.png
54,Healthy,17,Data/images/Crenated_11.png
55,Crenated,40,Data/images/Crenated_8.png
56,Healthy,33,Data/images/Crenated_13.png
57,Crenated,21,Data/images/Dead_cells_5.png
58,Dead,31,Data/images/Dead_cells_19.png
59,Crenated,57,Data/images/Crenated_10.png
60,Healthy,22,Data/images/Crenated_15.png
61,Crenated,20,Data/images/Crenated_2.png
62,Dead,24,Data/images/Dead_cells_5.png
63,Dead,26,Data/images/Dead_cells_20.png
64,Healthy,18,Data/images/Crenated_7.png
65,Dead,20,Data/images/Dead_cells_12.png
66,Healthy,12,Data/images/Crenated_6.png
67,Dead,11,Data/images/Dead_cells_4.png
68,Crenated,47,Data/images/Crenated_7.png
69,Healthy,3,Data/images/Crenated_11.png
70,Crenated,101,Data/images/Control5_3.png
71,Healthy,8,Data/images/Crenated_7.png
72,Crenated,69,Data/images/Crenated_12.png
75,Crenated,60,Data/images/Crenated_8.png
76,Crenated,51,Data/images/Crenated_2.png
77,Healthy,9,Data/images/Crenated_10.png
79,Crenated,59,Data/images/Crenated_9.png
80,Dead,17,Data/images/Dead_cells_11.png
82,Healthy,50,Data/images/Control5_3.png
83,Healthy,6,Data/images/Crenated_13.png
84,Healthy,11,Data/images/Crenated_10.png
85,Dead,17,Data/images/Dead_cells_17.png
86,Dead,11,Data/images/Dead_cells_3.png
87,Dead,4,Data/images/Dead_cells_9.png
88,Dead,17,Data/images/Dead_cells_3.png
89,Dead,3,Data/images/Dead_cells_16.png
90,Healthy,9,Data/images/Dead_cells_8.png
91,Dead,13,Data/images/Dead_cells_3.png
92,Crenated,33,Data/images/Crenated_5.png
93,Healthy,31,Data/images/Control5_3.png
94,Dead,27,Data/images/Dead_cells_20.png
95,Healthy,24,Data/images/Crenated_3.png
96,Dead,1,Data/images/Dead_cells_2.png
97,Crenated,9,Data/images/Crenated_8.png
98,Dead,12,Data/images/Dead_cells_17.png
99,Crenated,13,Data/images/Crenated_7.png
100,Crenated,32,Data/images/Crenated_5.png
102,Dead,58,Data/images/Crenated_1.png
103,Crenated,54,Data/images/Crenated_6.png
104,Crenated,43,Data/images/Crenated_2.png
105,Healthy,7,Data/images/Dead_cells_8.png
106,Healthy,18,Data/images/Crenated_4.png
107,Healthy,95,Data/images/Control5_3.png
108,Crenated,67,Data/images/Crenated_10.png
