annotation_id,label,cell_id,image
1,,10,ValidationData/images/Creanated8.tif
2,Healthy,49,ValidationData/images/Color8.tif
3,Healthy,3,ValidationData/images/Color1.tif
4,Healthy,24,ValidationData/images/Control1_15_hrs_PE_4.tif
5,Healthy,59,ValidationData/images/Color4.tif
6,Stressed,3,ValidationData/images/Color9.tif
7,Healthy,57,ValidationData/images/Color3.tif
8,,57,ValidationData/images/Dead7.tif
9,Stressed,6,ValidationData/images/Dead8.tif
10,Stressed,10,ValidationData/images/Creanated4.tif
11,Healthy,28,ValidationData/images/Color12.tif
12,Healthy,9,ValidationData/images/Dead5.tif
13,Healthy,21,ValidationData/images/Color7.tif
14,Crenated,33,ValidationData/images/Creanated4.tif
15,Healthy,37,ValidationData/images/Control2_15_hrs_PE_3.tif
16,Stressed,46,ValidationData/images/Color8.tif
17,Dead,34,ValidationData/images/Control2_15_hrs_PE_3.tif
18,Healthy,47,ValidationData/images/Color7.tif
19,Healthy,8,ValidationData/images/Control1_15_hrs_PE_3.tif
20,Crenated,31,ValidationData/images/Creanated3.tif
21,Healthy,1,ValidationData/images/Color11.tif
22,Healthy,2,ValidationData/images/Creanated1.tif
23,Healthy,2,ValidationData/images/Color3.tif
24,Healthy,28,ValidationData/images/Color11.tif
25,Dead,29,ValidationData/images/Dead3.tif
26,Healthy,29,ValidationData/images/Color10.tif
27,Healthy,16,ValidationData/images/Creanated1.tif
28,Crenated,23,ValidationData/images/Creanated1.tif
29,Dead,57,ValidationData/images/Color11.tif
30,Healthy,15,ValidationData/images/Control2_15_hrs_PE_4.tif
31,Healthy,59,ValidationData/images/Control2_15_hrs_PE_1.tif
32,Healthy,20,ValidationData/images/Control2_15_hrs_PE_2.tif
33,Healthy,14,ValidationData/images/Dead7.tif
34,Crenated,19,ValidationData/images/Creanated7.tif
35,,49,ValidationData/images/Dead2.tif
36,Crenated,9,ValidationData/images/Creanated2.tif
37,Healthy,42,ValidationData/images/Color7.tif
38,Healthy,59,ValidationData/images/Color8.tif
39,Healthy,40,ValidationData/images/Control1_15_hrs_PE_2.tif
40,Healthy,1,ValidationData/images/Control2_15_hrs_PE_1.tif
41,Healthy,33,ValidationData/images/Color11.tif
42,Healthy,4,ValidationData/images/Dead4.tif
43,Healthy,24,ValidationData/images/Control1_15_hrs_PE_2.tif
44,Dead,59,ValidationData/images/Control1_15_hrs_PE_4.tif
45,Stressed,71,ValidationData/images/Control2_15_hrs_PE_2.tif
46,Healthy,1,ValidationData/images/Dead5.tif
47,Healthy,23,ValidationData/images/Color5.tif
48,Dead,55,ValidationData/images/Dead3.tif
49,Stressed,1,ValidationData/images/Creanated6.tif
50,,7,ValidationData/images/Color8.tif
51,,73,ValidationData/images/Color6.tif
52,,13,ValidationData/images/Control2_15_hrs_PE_4.tif
53,Stressed,71,ValidationData/images/Color4.tif
54,,16,ValidationData/images/Color2.tif
55,,4,ValidationData/images/Color2.tif
56,Dead,37,ValidationData/images/Dead1.tif
57,,44,ValidationData/images/Control2_15_hrs_PE_4.tif
58,,25,ValidationData/images/Control2_15_hrs_PE_3.tif
59,,11,ValidationData/images/Creanated6.tif
60,,63,ValidationData/images/Color3.tif
61,,54,ValidationData/images/Color5.tif
62,,15,ValidationData/images/Color11.tif
63,,35,ValidationData/images/Control1_15_hrs_PE_4.tif
64,Stressed,32,ValidationData/images/Control2_15_hrs_PE_3.tif
65,,29,ValidationData/images/Control2_15_hrs_PE_2.tif
66,Dead,21,ValidationData/images/Dead4.tif
67,,17,ValidationData/images/Control1_15_hrs_PE_4.tif
68,,33,ValidationData/images/Control1_15_hrs_PE_2.tif
69,,46,ValidationData/images/Color3.tif
70,Crenated,67,ValidationData/images/Color7.tif
71,Crenated,31,ValidationData/images/Creanated6.tif
72,Stressed,65,ValidationData/images/Color6.tif
73,Dead,47,ValidationData/images/Dead1.tif
74,,45,ValidationData/images/Color12.tif
75,,41,ValidationData/images/Control1_15_hrs_PE_1.tif
76,,27,ValidationData/images/Control2_15_hrs_PE_3.tif
77,,34,ValidationData/images/Control1_15_hrs_PE_1.tif
78,Stressed,26,ValidationData/images/Control2_15_hrs_PE_1.tif
79,Dead,7,ValidationData/images/Dead3.tif
80,Crenated,29,ValidationData/images/Creanated5.tif
81,Dead,60,ValidationData/images/Control1_15_hrs_PE_3.tif
82,,37,ValidationData/images/Control2_15_hrs_PE_4.tif
83,Dead,19,ValidationData/images/Dead1.tif
84,Stressed,8,ValidationData/images/Creanated7.tif
85,,59,ValidationData/images/Color5.tif
86,,30,ValidationData/images/Control1_15_hrs_PE_3.tif
87,,19,ValidationData/images/Color8.tif
88,,27,ValidationData/images/Color9.tif
89,,69,ValidationData/images/Color4.tif
90,,24,ValidationData/images/Control1_15_hrs_PE_3.tif
91,,66,ValidationData/images/Color5.tif
92,Stressed,37,ValidationData/images/Color7.tif
93,,11,ValidationData/images/Control1_15_hrs_PE_2.tif
94,Dead,11,ValidationData/images/Dead4.tif
95,,32,ValidationData/images/Color5.tif
96,,42,ValidationData/images/Control1_15_hrs_PE_3.tif
97,,3,ValidationData/images/Dead6.tif
98,,23,ValidationData/images/Color4.tif
99,,13,ValidationData/images/Control2_15_hrs_PE_3.tif
100,Stressed,2,ValidationData/images/Creanated2.tif
101,Crenated,22,ValidationData/images/Creanated7.tif
102,Crenated,30,ValidationData/images/Creanated1.tif
103,,66,ValidationData/images/Control1_15_hrs_PE_4.tif
104,Crenated,53,ValidationData/images/Color10.tif
105,,5,ValidationData/images/Dead6.tif
106,,16,ValidationData/images/Color1.tif
107,,12,ValidationData/images/Control2_15_hrs_PE_4.tif
108,,19,ValidationData/images/Color2.tif
109,Stressed,5,ValidationData/images/Creanated1.tif
110,,37,ValidationData/images/Color2.tif
111,,31,ValidationData/images/Color2.tif
112,,14,ValidationData/images/Color2.tif
113,,40,ValidationData/images/Color5.tif
114,,56,ValidationData/images/Color6.tif
115,,32,ValidationData/images/Color6.tif
116,Dead,15,ValidationData/images/Dead3.tif
117,Dead,46,ValidationData/images/Dead5.tif
118,Dead,70,ValidationData/images/Control2_15_hrs_PE_2.tif
119,Crenated,1,ValidationData/images/Creanated3.tif
120,,10,ValidationData/images/Control1_15_hrs_PE_1.tif
121,Stressed,41,ValidationData/images/Control1_15_hrs_PE_2.tif
122,,4,ValidationData/images/Color8.tif
123,,4,ValidationData/images/Color1.tif
124,,58,ValidationData/images/Control2_15_hrs_PE_2.tif
125,Dead,22,ValidationData/images/Dead3.tif
126,,4,ValidationData/images/Color11.tif
127,Stressed,18,ValidationData/images/Creanated4.tif
128,Dead,17,ValidationData/images/Creanated2.tif
129,Crenated,15,ValidationData/images/Creanated7.tif
130,,2,ValidationData/images/Color11.tif
131,Crenated,62,ValidationData/images/Color7.tif
132,,1,ValidationData/images/Creanated8.tif
133,,13,ValidationData/images/Color1.tif
134,,10,ValidationData/images/Dead2.tif
135,,47,ValidationData/images/Dead4.tif
136,Dead,40,ValidationData/images/Dead4.tif
137,,58,ValidationData/images/Color12.tif
138,,55,ValidationData/images/Color9.tif
139,,76,ValidationData/images/Control2_15_hrs_PE_2.tif
140,Dead,74,ValidationData/images/Control2_15_hrs_PE_2.tif
141,,16,ValidationData/images/Control2_15_hrs_PE_4.tif
142,,20,ValidationData/images/Color6.tif
143,,14,ValidationData/images/Control1_15_hrs_PE_3.tif
144,,63,ValidationData/images/Color1.tif
145,Stressed,19,ValidationData/images/Creanated2.tif
146,,23,ValidationData/images/Color1.tif
147,Dead,21,ValidationData/images/Dead8.tif
148,,24,ValidationData/images/Control2_15_hrs_PE_2.tif
149,,12,ValidationData/images/Color12.tif
150,,22,ValidationData/images/Color1.tif
151,Stressed,16,ValidationData/images/Color11.tif
152,Stressed,61,ValidationData/images/Color8.tif
153,,13,ValidationData/images/Color2.tif
154,Stressed,41,ValidationData/images/Color2.tif
155,,35,ValidationData/images/Color6.tif
156,,31,ValidationData/images/Color12.tif
157,Stressed,19,ValidationData/images/Color6.tif
158,,32,ValidationData/images/Control2_15_hrs_PE_4.tif
159,,64,ValidationData/images/Color2.tif
160,Dead,27,ValidationData/images/Dead5.tif
161,,50,ValidationData/images/Color1.tif
162,,49,ValidationData/images/Control2_15_hrs_PE_2.tif
163,,11,ValidationData/images/Color1.tif
164,,14,ValidationData/images/Color6.tif
165,,48,ValidationData/images/Control1_15_hrs_PE_4.tif
166,,6,ValidationData/images/Control1_15_hrs_PE_3.tif
167,Stressed,49,ValidationData/images/Control2_15_hrs_PE_3.tif
168,,61,ValidationData/images/Color5.tif
169,,32,ValidationData/images/Control2_15_hrs_PE_1.tif
170,,16,ValidationData/images/Control1_15_hrs_PE_3.tif
171,Dead,49,ValidationData/images/Dead5.tif
172,Stressed,7,ValidationData/images/Creanated2.tif
173,,15,ValidationData/images/Control2_15_hrs_PE_2.tif
174,Crenated,6,ValidationData/images/Creanated2.tif
175,Stressed,6,ValidationData/images/Creanated6.tif
176,,44,ValidationData/images/Control2_15_hrs_PE_3.tif
177,,2,ValidationData/images/Color4.tif
178,Crenated,12,ValidationData/images/Creanated2.tif
179,,38,ValidationData/images/Color9.tif
180,,33,ValidationData/images/Control2_15_hrs_PE_2.tif
181,,36,ValidationData/images/Color11.tif
182,Crenated,18,ValidationData/images/Creanated3.tif
183,Dead,43,ValidationData/images/Dead3.tif
184,Dead,32,ValidationData/images/Dead7.tif
185,Dead,36,ValidationData/images/Dead1.tif
186,,21,ValidationData/images/Control2_15_hrs_PE_4.tif
187,Stressed,48,ValidationData/images/Color11.tif
188,,18,ValidationData/images/Color3.tif
189,,20,ValidationData/images/Color3.tif
190,,19,ValidationData/images/Color10.tif
191,Dead,57,ValidationData/images/Control2_15_hrs_PE_3.tif
192,Stressed,2,ValidationData/images/Creanated7.tif
193,Dead,23,ValidationData/images/Dead6.tif
194,,35,ValidationData/images/Control2_15_hrs_PE_3.tif
195,Stressed,4,ValidationData/images/Creanated4.tif
196,,19,ValidationData/images/Control1_15_hrs_PE_4.tif
197,,9,ValidationData/images/Color3.tif
198,Dead,25,ValidationData/images/Dead8.tif
199,Crenated,16,ValidationData/images/Creanated2.tif
200,,27,ValidationData/images/Color4.tif
201,,10,ValidationData/images/Color6.tif
202,Dead,29,ValidationData/images/Dead6.tif
203,Dead,16,ValidationData/images/Dead4.tif
204,Crenated,22,ValidationData/images/Creanated5.tif
205,,2,ValidationData/images/Control2_15_hrs_PE_2.tif
206,,38,ValidationData/images/Color8.tif
207,,46,ValidationData/images/Color9.tif
208,,29,ValidationData/images/Dead8.tif
209,,39,ValidationData/images/Color12.tif
210,Crenated,22,ValidationData/images/Creanated3.tif
211,,21,ValidationData/images/Dead1.tif
212,,38,ValidationData/images/Color7.tif
213,Crenated,18,ValidationData/images/Creanated2.tif
214,,27,ValidationData/images/Control1_15_hrs_PE_1.tif
215,,42,ValidationData/images/Control2_15_hrs_PE_2.tif
216,,67,ValidationData/images/Color8.tif
217,Crenated,17,ValidationData/images/Creanated8.tif
218,,31,ValidationData/images/Control1_15_hrs_PE_1.tif
219,,16,ValidationData/images/Dead2.tif
220,Stressed,47,ValidationData/images/Control1_15_hrs_PE_2.tif
221,,24,ValidationData/images/Color9.tif
222,,8,ValidationData/images/Control2_15_hrs_PE_4.tif
223,,48,ValidationData/images/Color12.tif
224,,39,ValidationData/images/Dead8.tif
225,,41,ValidationData/images/Dead4.tif
226,Crenated,8,ValidationData/images/Creanated2.tif
227,,12,ValidationData/images/Color4.tif
228,,70,ValidationData/images/Color5.tif
229,,4,ValidationData/images/Control1_15_hrs_PE_3.tif
230,,13,ValidationData/images/Color9.tif
231,,13,ValidationData/images/Creanated2.tif
232,Stressed,4,ValidationData/images/Creanated6.tif
233,,66,ValidationData/images/Color10.tif
234,,72,ValidationData/images/Color3.tif
235,,47,ValidationData/images/Control1_15_hrs_PE_4.tif
236,,15,ValidationData/images/Color9.tif
237,,48,ValidationData/images/Color9.tif
238,,44,ValidationData/images/Color11.tif
239,,30,ValidationData/images/Color1.tif
240,,40,ValidationData/images/Color12.tif
241,Stressed,61,ValidationData/images/Color9.tif
242,,61,ValidationData/images/Control2_15_hrs_PE_2.tif
243,,50,ValidationData/images/Control2_15_hrs_PE_2.tif
244,,61,ValidationData/images/Color6.tif
245,,12,ValidationData/images/Dead7.tif
246,,52,ValidationData/images/Dead2.tif
247,,20,ValidationData/images/Dead3.tif
248,,29,ValidationData/images/Control2_15_hrs_PE_4.tif
249,,41,ValidationData/images/Color10.tif
250,Crenated,42,ValidationData/images/Control2_15_hrs_PE_4.tif
251,,33,ValidationData/images/Control1_15_hrs_PE_3.tif
252,,17,ValidationData/images/Color3.tif
253,,2,ValidationData/images/Dead3.tif
254,,28,ValidationData/images/Control2_15_hrs_PE_3.tif
255,,43,ValidationData/images/Control1_15_hrs_PE_1.tif
256,,59,ValidationData/images/Color1.tif
257,Crenated,5,ValidationData/images/Creanated2.tif
258,,17,ValidationData/images/Control1_15_hrs_PE_1.tif
259,,8,ValidationData/images/Creanated4.tif
260,,7,ValidationData/images/Control1_15_hrs_PE_4.tif
261,,14,ValidationData/images/Color8.tif
262,Crenated,14,ValidationData/images/Creanated2.tif
263,,5,ValidationData/images/Color12.tif
264,Crenated,54,ValidationData/images/Control2_15_hrs_PE_4.tif
265,,40,ValidationData/images/Control1_15_hrs_PE_1.tif
266,,14,ValidationData/images/Creanated4.tif
267,,53,ValidationData/images/Color6.tif
268,,45,ValidationData/images/Control2_15_hrs_PE_2.tif
269,,19,ValidationData/images/Color5.tif
270,,19,ValidationData/images/Color1.tif
271,,53,ValidationData/images/Dead6.tif
272,,18,ValidationData/images/Dead8.tif
273,,24,ValidationData/images/Control2_15_hrs_PE_3.tif
274,,43,ValidationData/images/Color6.tif
275,Crenated,58,ValidationData/images/Control1_15_hrs_PE_3.tif
276,,4,ValidationData/images/Control2_15_hrs_PE_4.tif
277,,27,ValidationData/images/Control1_15_hrs_PE_2.tif
278,,55,ValidationData/images/Control2_15_hrs_PE_4.tif
279,,62,ValidationData/images/Control2_15_hrs_PE_4.tif
280,,31,ValidationData/images/Dead2.tif
281,,80,ValidationData/images/Control2_15_hrs_PE_2.tif
282,,65,ValidationData/images/Color3.tif
283,,57,ValidationData/images/Color10.tif
284,,45,ValidationData/images/Control1_15_hrs_PE_1.tif
285,Crenated,53,ValidationData/images/Color11.tif
286,,67,ValidationData/images/Control2_15_hrs_PE_4.tif
287,,6,ValidationData/images/Dead3.tif
288,,75,ValidationData/images/Control2_15_hrs_PE_2.tif
289,,2,ValidationData/images/Control1_15_hrs_PE_2.tif
290,,6,ValidationData/images/Creanated4.tif
291,Crenated,26,ValidationData/images/Color3.tif
292,,6,ValidationData/images/Color1.tif
293,,45,ValidationData/images/Control1_15_hrs_PE_4.tif
294,,22,ValidationData/images/Control1_15_hrs_PE_3.tif
295,,28,ValidationData/images/Dead7.tif
296,,9,ValidationData/images/Color8.tif
297,,6,ValidationData/images/Color12.tif
298,,56,ValidationData/images/Dead3.tif
299,,32,ValidationData/images/Color9.tif
300,,37,ValidationData/images/Color9.tif
