annotation_id,label,cell_id,image
1,Healthy,11,ValidationData/images/Color12.png
3,Dead,39,ValidationData/images/Dead1.png
4,,24,ValidationData/images/Color10.png
5,,54,ValidationData/images/Color10.png
6,Dead,40,ValidationData/images/Dead7.png
7,,30,ValidationData/images/Color10.png
8,,52,ValidationData/images/Color6.png
9,,22,ValidationData/images/Control1_15_hrs_PE_4.png
10,Crenated,13,ValidationData/images/Creanated3.png
11,Dead,10,ValidationData/images/Dead8.png
12,,39,ValidationData/images/Color2.png
13,,69,ValidationData/images/Color3.png
14,,68,ValidationData/images/Color6.png
15,Healthy,2,ValidationData/images/Dead2.png
16,Healthy,38,ValidationData/images/Color3.png
17,Crenated,1,ValidationData/images/Creanated3.png
18,Stressed,69,ValidationData/images/Color4.png
19,,19,ValidationData/images/Color4.png
20,Dead,22,ValidationData/images/Dead2.png
21,Healthy,36,ValidationData/images/Color4.png
22,,13,ValidationData/images/Color3.png
23,Healthy,2,ValidationData/images/Control2_15_hrs_PE_3.png
24,,46,ValidationData/images/Control2_15_hrs_PE_2.png
25,Dead,25,ValidationData/images/Dead2.png
26,Stressed,21,ValidationData/images/Color11.png
27,Dead,41,ValidationData/images/Dead6.png
28,Dead,27,ValidationData/images/Dead6.png
29,Dead,68,ValidationData/images/Control2_15_hrs_PE_4.png
30,Crenated,15,ValidationData/images/Creanated2.png
31,Healthy,2,ValidationData/images/Control2_15_hrs_PE_2.png
32,Dead,34,ValidationData/images/Dead4.png
33,,41,ValidationData/images/Control1_15_hrs_PE_4.png
34,Healthy,30,ValidationData/images/Color6.png
35,,22,ValidationData/images/Dead6.png
36,Stressed,24,ValidationData/images/Color5.png
37,Stressed,36,ValidationData/images/Color3.png
38,Healthy,32,ValidationData/images/Color2.png
39,,1,ValidationData/images/Creanated7.png
40,,50,ValidationData/images/Color2.png
41,Healthy,27,ValidationData/images/Control1_15_hrs_PE_4.png
42,Stressed,37,ValidationData/images/Control2_15_hrs_PE_4.png
43,Healthy,26,ValidationData/images/Color10.png
44,Crenated,63,ValidationData/images/Control2_15_hrs_PE_3.png
45,Crenated,82,ValidationData/images/Color2.png
46,,38,ValidationData/images/Color6.png
47,Healthy,25,ValidationData/images/Control2_15_hrs_PE_3.png
48,,52,ValidationData/images/Color2.png
49,Healthy,1,ValidationData/images/Color12.png
50,Crenated,29,ValidationData/images/Creanated6.png
51,Healthy,62,ValidationData/images/Color2.png
